Title,Publication Date,Summary,URL,Source,Country,Language
What will 'reset' deal mean for UK economic growth?,"Mon, 19 May 2025 14:50:05 GMT","The deal paves the way for more common ground with the EU, but only dismantles a fraction of the trade barriers erected post-Brexit.",https://www.bbc.com/news/articles/cgmj8l3ndlno,Unknown,Unknown,en
Lineker to leave BBC sooner than planned after antisemitism row,"Mon, 19 May 2025 12:54:24 GMT",He will no longer present the corporation's future coverage of the FA Cup and World Cup as planned.,https://www.bbc.com/news/articles/c79e37nld1no,Unknown,Unknown,en
"Gary Lineker could not keep quiet. In the end, it finished his BBC career","Mon, 19 May 2025 11:40:19 GMT","His years as a BBC host end in circumstances nobody would have wanted, but some might have predicted.",https://www.bbc.com/news/articles/cq54wy9jzgdo,Unknown,Unknown,en
Third man arrested over fires at homes linked to PM,"Mon, 19 May 2025 15:47:45 GMT",A 34-year-old man is arrested over alleged arson attacks on properties connected to Sir Keir Starmer.,https://www.bbc.com/news/articles/cvg78zw7yqyo,Unknown,Unknown,en
"Cancer touches us all, says Biden after outpouring of support","Mon, 19 May 2025 15:18:31 GMT","The former US president has been diagnosed with an aggressive form of prostate cancer that has spread to his bones, his office says.",https://www.bbc.com/news/articles/cyvmq997y9go,Unknown,Unknown,en
"Israel allowing 'minimal' food into Gaza after pressure from allies, Netanyahu says","Mon, 19 May 2025 12:48:31 GMT","Benjamin Netanyahu says aid will enter for ""practical and diplomatic"" reasons, after weeks of blockade.",https://www.bbc.com/news/articles/c3d4kz8p00eo,Unknown,Unknown,en
Woman wins parking fine battle after TikTok campaign,"Mon, 19 May 2025 13:49:43 GMT",A woman dons a bread mask and launches social media campaign to win a battle over a parking ticket.,https://www.bbc.com/news/articles/czdy3gj97y2o,Unknown,Unknown,en
Greggs shifts food behind counters to stop shoplifters,"Mon, 19 May 2025 16:37:54 GMT",The High Street chain is trialling moving its self-serve goods to crack down on shoplifting.,https://www.bbc.com/news/articles/c17r52rvj2lo,Unknown,Unknown,en
France to open high-security prison in Amazon jungle,"Mon, 19 May 2025 10:32:22 GMT",The €400 million high-security jail will be built in France's overseas region of French Guiana in South America.,https://www.bbc.com/news/articles/c7v7n81emy3o,Unknown,Unknown,en
NI minister apologises for 'good-looking' comment at women's sport event,"Mon, 19 May 2025 14:28:24 GMT",Gordon Lyons was speaking at a leadership event for women in business and sport.,https://www.bbc.com/news/articles/c9q0wd4rzqdo,Unknown,Unknown,en
"Fishing, passports and defence - the EU deal at a glance","Mon, 19 May 2025 14:31:45 GMT","A new agreement setting out post-Brexit relations on areas including fishing rights, trade and defence has been reached.",https://www.bbc.com/news/articles/czdy3r6q9mgo,Unknown,Unknown,en
Henry Zeffman: Starmer banks on public being over Brexit with new UK-EU deal,"Mon, 19 May 2025 13:05:55 GMT",For the UK-EU deal to succeed the PM needs it to seem as insignificant and uncontroversial as possible.,https://www.bbc.com/news/articles/c5y2r4n871xo,Unknown,Unknown,en
Morrisons says deal will 'ease' price pressure,"Mon, 19 May 2025 16:25:33 GMT","The EU-UK trade deal has been praised as a ""leap foward"" and ""genuine progress"" by some of the UK's major business groups.",https://www.bbc.com/news/articles/cvgvp0wlnl3o,Unknown,Unknown,en
"EU deal disastrous for Scotland, says fishing body","Mon, 19 May 2025 15:59:24 GMT",A new deal extending access for EU boats in UK waters has been agreed as part of a wider softening of relations with the bloc.,https://www.bbc.com/news/articles/c057n0745qjo,Unknown,Unknown,en
The secretive US factory that lays bare the contradiction in Trump's America First plan,"Sun, 18 May 2025 21:55:21 GMT",An exclusive look inside the closely guarded factory the president wants to become a foundation stone for a US golden age.,https://www.bbc.com/news/articles/cwywj0zgzwxo,Unknown,Unknown,en
Watch: How Gary Lineker's long BBC career came to an abrupt end,"Mon, 19 May 2025 15:56:49 GMT",The Match of the Day host will leave the corporation after presenting his final episode on Sunday.,https://www.bbc.com/news/videos/c14kx2nyn7go,Unknown,Unknown,en
Water voles are almost extinct in Wales - could edible glitter save them?,"Mon, 19 May 2025 05:10:06 GMT",It is hoped edible glitter could help conservationists to track the shy species in the wild.,https://www.bbc.com/news/articles/czx08exwp97o,Unknown,Unknown,en
Olympic gold swimmer left ‘broken’ by coach's harsh regime and weight comments,"Mon, 19 May 2025 05:02:30 GMT",Gold medallist Ruta Meilutytė describes toxic training environment under esteemed trainer Jon Rudd at top swim club.,https://www.bbc.com/news/articles/cn4gmm2zv8no,Unknown,Unknown,en
Scientists try to solve mystery of mass dinosaur grave beneath lush Canadian forest,"Mon, 19 May 2025 05:06:24 GMT",A group of researchers have come to Pipestone Creek in Canada to figure out why thousands of dinosaurs are buried here.,https://www.bbc.com/news/articles/c0k3x8lmje1o,Unknown,Unknown,en
BBC uncovers child sex abuse in South Africa's illegal mines,"Mon, 19 May 2025 06:37:05 GMT",An investigation into the illicit mining sector reveals a world of child exploitation.,https://www.bbc.com/news/articles/c74z0px07nzo,Unknown,Unknown,en
'A pain I can't describe': Tornadoes sweep multiple US states,"Mon, 19 May 2025 08:52:59 GMT",Dozens of people have died in parts of the United States after tornadoes caused catastrophic damage across the weekend.,https://www.bbc.com/news/videos/cwy3np4pnj3o,Unknown,Unknown,en
Iran and Britain summon envoys over alleged spying in UK,"Mon, 19 May 2025 13:06:54 GMT","Iranian state media describes the arrests as ""unjustified"" and ""politically motivated"".",https://www.bbc.com/news/articles/cpw7znqvl77o,Unknown,Unknown,en
Gang must repay £750k for robbery of Olympic cyclist Mark Cavendish,"Mon, 19 May 2025 15:28:09 GMT","Three men will have their prison terms extended if they do not pay the money, a judge rules.",https://www.bbc.com/news/articles/cwy3nw8gv1jo,Unknown,Unknown,en
